Team,Opponent,Season,Round,Score,Player,Aces,Unforced Errors,Forced Errors,1st Serve In,1st Serve Out,Double Faults,Winners,Errors Forced,win?,Team Score,Opponent Score,votes,
Orange,Navy,2,9,3-6,Jimmy Gorton,0,7,2,,,0,2,0,FALSE,3,6,3,
Orange,Navy,2,9,3-6,Ed Simpson,0,14,0,,,0,3,1,FALSE,3,6,,
Navy,Orange,2,9,6-3,Archie Littlejohn,0,4,1,,,1,3,1,TRUE,6,3,6,
Navy,Orange,2,9,6-3,Will Mumme,0,9,0,,,1,4,1,TRUE,6,3,3,
White,Red,2,9,4-6,Quinn Feikema,2,3,1,,,2,0,2,FALSE,4,6,3,
White,Red,2,9,4-6,Declan Croucher,0,14,2,,,0,2,2,FALSE,4,6,,
Red,White,2,9,6-4,Ethan Seamer,0,10,2,,,2,2,1,TRUE,6,4,6,
Red,White,2,9,6-4,Lewis Mossman,1,12,2,,,2,7,1,TRUE,6,4,3,
Black,Yellow,2,9,4-6,Conor Paraskevas,0,28,3,,,1,6,5,FALSE,4,6,4,
Black,Yellow,2,9,4-6,SINGLES GAME,,,,,,,,,FALSE,4,6,,
Yellow,Black,2,9,6-4,Max Razums,0,14,5,,,0,4,3,TRUE,6,4,6,
Yellow,Black,2,9,6-4,SINGLES GAME,,,,,,,,,TRUE,6,4,,
Light Blue,Green,2,9,6-2,Emerson Wise,0,4,3,,,2,2,1,TRUE,6,2,4,
Light Blue,Green,2,9,6-2,Angus Hume,1,4,0,,,0,2,4,TRUE,6,2,6,
Green,Light Blue,2,9,2-6,Jack Raines,0,14,3,,,0,4,0,FALSE,2,6,1,
Green,Light Blue,2,9,2-6,Ted Angel,1,7,2,,,0,2,3,FALSE,2,6,1,
Black,Orange,3,1,6-4,Lachlan Jenkin,1,5,3,,,4,7,12,TRUE,6,4,6,
Black,Orange,3,1,6-4,Jim Papa,0,13,1,,,0,3,2,TRUE,6,4,3,
Orange,Black,3,1,4-6,Jimmy Gorton,0,4,5,,,1,3,3,FALSE,4,6,3,
Orange,Black,3,1,4-6,Lewis Mossman,0,6,8,,,1,2,2,FALSE,4,6,0,
Red,Green,3,1,6-3,Luke Sharrock,0,15,3,,,0,4,3,TRUE,6,3,6,
Red,Green,3,1,6-3,Max Razums,0,11,4,,,0,4,0,TRUE,6,3,3,
Green,Red,3,1,3-6,Declan Croucher,0,12,1,,,0,1,1,FALSE,3,6,3,
Green,Red,3,1,3-6,Quinn Feikema (Fill-in),0,8,2,,,1,2,5,FALSE,3,6,0,
White,Yellow,3,1,6-2,Jonathan Kierce,0,5,4,,,0,8,6,TRUE,6,2,6,
White,Yellow,3,1,6-2,Damon Maurice,0,7,2,,,0,0,2,TRUE,6,2,0,
Yellow,White,3,1,2-6,Emerson Wise,0,2,4,,,0,1,6,FALSE,2,6,4,
Yellow,White,3,1,2-6,Lachy Godden,0,6,1,,,2,1,7,FALSE,2,6,2,
Navy,Pink,3,1,6-3,Shayl Inlander,0,7,1,,,0,5,2,TRUE,6,3,6,
Navy,Pink,3,1,6-3,Ethan Seamer,0,13,4,,,4,9,3,TRUE,6,3,3,
Pink,Navy,3,1,3-6,Will Burgess,0,9,2,,,2,1,4,FALSE,3,6,3,
Pink,Navy,3,1,3-6,Jamie Harris,0,8,3,,,1,2,1,FALSE,3,6,0,
Light Blue,Yellow,3,2,6-0,Quinn Feikema,0,3,1,,,1,3,1,TRUE,6,0,4,
Light Blue,Yellow,3,2,6-0,Will Mumme,0,0,1,,,0,3,4,TRUE,6,0,6,
Yellow,Light Blue,3,2,0-6,Emerson Wise,2,7,1,,,2,2,1,FALSE,0,6,1,
Yellow,Light Blue,3,2,0-6,Lachy Godden,0,6,4,,,1,2,1,FALSE,0,6,1,
Orange,Pink,3,2,6-0,Jimmy Gorton,1,5,1,,,1,1,2,TRUE,6,0,5,
Orange,Pink,3,2,6-0,Lewis Mossman,1,1,0,,,1,4,2,TRUE,6,0,5,
Pink,Orange,3,2,0-6,Will Burgess,0,3,3,,,3,0,1,FALSE,0,6,2,
Pink,Orange,3,2,0-6,Jamie Harris,0,4,1,,,3,0,0,FALSE,0,6,0,
White,Red,3,2,6-3,Jonathan Kierce,0,5,3,,,0,5,7,TRUE,6,3,5,
White,Red,3,2,6-3,Damon Maurice,0,4,6,,,0,0,1,TRUE,6,3,1,
Red,White,3,2,3-6,Luke Sharrock,0,7,3,,,1,6,9,FALSE,3,6,5,
Red,White,3,2,3-6,Flynn Braden,0,8,5,,,3,1,0,FALSE,3,6,1,
Navy,Green,3,2,6-4,Shayl Inlander,0,13,1,,,0,6,4,TRUE,6,4,5,
Navy,Green,3,2,6-4,Ethan Seamer,0,19,1,,,0,9,6,TRUE,6,4,2,
Green,Navy,3,2,4-6,Jackson Virgona,0,11,4,,,2,0,3,FALSE,4,6,3,
Green,Navy,3,2,4-6,Declan Croucher,0,3,6,,,5,4,0,FALSE,4,6,2,
Navy,Black,3,3,6-0,Shayl Inlander,0,2,1,,,2,2,3,TRUE,6,0,3,
Navy,Black,3,3,6-0,Ethan Seamer,0,3,2,,,3,4,5,TRUE,6,0,6,
Black,Navy,3,3,0-6,Jim Papa,0,7,2,,,0,3,1,FALSE,0,6,3,
Black,Navy,3,3,0-6,Dimitri Liva,0,12,6,,,0,0,2,FALSE,0,6,0,
Orange,White,3,3,6-3,Jimmy Gorton,1,5,3,,,4,4,4,TRUE,6,3,4,
Orange,White,3,3,6-3,Lewis Mossman,0,2,3,,,0,7,2,TRUE,6,3,6,
White,Orange,3,3,3-6,Jonathan Kierce,0,5,4,,,0,5,6,FALSE,3,6,2,
White,Orange,3,3,3-6,Damon Maurice,0,4,1,,,2,0,0,FALSE,3,6,0,
Light Blue,Pink,3,3,6-0,Quinn Feikema,2,3,1,,,2,3,4,TRUE,6,0,6,
Light Blue,Pink,3,3,6-0,Will Mumme,0,4,0,,,1,4,2,TRUE,6,0,4,
Pink,Light Blue,3,3,0-6,Will Burgess,1,6,4,,,1,2,0,FALSE,0,6,2,
Pink,Light Blue,3,3,0-6,Jamie Harris,0,7,2,,,1,0,1,FALSE,0,6,0,
Red,Yellow,3,3,5-5,Luke Sharrock,2,7,8,,,1,5,7,TRUE,5,5,5,
Red,Yellow,3,3,5-5,Max Razums,0,7,1,,,0,0,2,TRUE,5,5,0,
Yellow,Red,3,3,5-5,Emerson Wise,1,8,5,,,1,1,5,FALSE,5,5,3,
Yellow,Red,3,3,5-5,Lachy Godden,0,14,5,,,1,8,4,FALSE,5,5,4,
Pink,Green,3,4,6-1,Jamie Harris,0,9,2,,,0,2,1,TRUE,6,1,4,
Pink,Green,3,4,6-1,Jonathan Kierce (Fill-in),0,1,1,,,0,5,8,TRUE,6,1,6,
Green,Pink,3,4,1-6,Jackson Virgona,0,4,5,,,2,2,2,FALSE,1,6,1,
Green,Pink,3,4,1-6,Declan Croucher,0,4,4,,,0,2,1,FALSE,1,6,1,
Red,Orange,3,4,6-3,Max Razums,0,5,2,,,2,0,1,TRUE,6,3,5,
Red,Orange,3,4,6-3,Jonathan Kierce (Fill-in),0,4,1,,,0,6,7,TRUE,6,3,5,
Orange,Red,3,4,3-6,Lewis Mossman,0,4,3,,,2,1,2,FALSE,3,6,1,
Orange,Red,3,4,3-6,Jimmy Gorton,0,6,5,,,1,9,1,FALSE,3,6,1,
White,Black,3,4,6-1,Jonathan Kierce,0,0,0,,,0,3,1,TRUE,6,1,5,
White,Black,3,4,6-1,Archie Littlejohn,0,3,3,,,1,2,0,TRUE,6,1,5,
Black,White,3,4,1-6,Lachlan Jenkin,0,3,0,,,2,1,1,FALSE,1,6,2,
Black,White,3,4,1-6,Flynn Braden,0,10,1,,,1,3,0,FALSE,1,6,0,
Navy,Light Blue,3,4,6-1,Shayl Inlander,0,5,2,,,1,5,4,TRUE,6,1,6,
Navy,Light Blue,3,4,6-1,Ethan Seamer,0,5,2,,,0,7,0,TRUE,6,1,4,
Light Blue,Navy,3,4,1-6,Quinn Feikema,0,8,3,,,1,0,2,FALSE,1,6,0,
Light Blue,Navy,3,4,1-6,Will Mumme,0,4,0,,,2,1,2,FALSE,1,6,2,
White,Green,3,5,6-2,Jonathan Kierce,1,3,1,,,0,5,8,TRUE,6,2,6,
White,Green,3,5,6-2,Max Razums (Fill-in),0,6,1,,,0,1,0,TRUE,6,2,4,
Green,White,3,5,2-6,Jackson Virgona,0,8,3,,,3,1,1,FALSE,2,6,0,
Green,White,3,5,2-6,Declan Croucher,0,2,4,,,0,1,0,FALSE,2,6,2,
Red,Light Blue,3,5,6-3,Luke Sharrock,0,4,1,,,1,1,7,TRUE,6,3,6,
Red,Light Blue,3,5,6-3,Max Razums,0,5,5,,,2,1,1,TRUE,6,3,4,
Light Blue,Red,3,5,3-6,Quinn Feikema,0,7,4,,,5,4,2,FALSE,3,6,2,
Light Blue,Red,3,5,3-6,Ethan Seamer (Fill-in),0,7,4,,,1,3,4,FALSE,3,6,0,
Black,Yellow,3,5,6-2,Lachlan Jenkin,0,7,2,,,2,5,8,TRUE,6,2,6,
Black,Yellow,3,5,6-2,Jim Papa,1,8,1,,,0,2,2,TRUE,6,2,2,
Yellow,Black,3,5,2-6,Emerson Wise,1,4,1,,,0,2,3,FALSE,2,6,4,
Yellow,Black,3,5,2-6,Lachy Godden,0,11,9,,,1,1,0,FALSE,2,6,0,
Orange,Navy,3,5,6-3,Jimmy Gorton,1,6,3,,,1,4,4,TRUE,6,3,4,
Orange,Navy,3,5,6-3,Lewis Mossman,1,7,1,,,1,6,3,TRUE,6,3,6,
Navy,Orange,3,5,3-6,Shayl Inlander,0,5,7,,,1,5,2,FALSE,3,6,2,
Navy,Orange,3,5,3-6,Ethan Seamer,0,7,1,,,0,3,1,FALSE,3,6,0,
Pink,Yellow,3,6,1-6,Shayl Inlander (Fill-in),1,6,2,,,0,1,2,FALSE,1,6,2,
Pink,Yellow,3,6,1-6,Jamie Harris,0,13,3,,,0,2,3,FALSE,1,6,1,
Yellow,Pink,3,6,6-1,Emerson Wise,1,5,2,,,0,3,4,TRUE,6,1,6,
Yellow,Pink,3,6,6-1,Lachy Godden,0,5,3,,,1,2,1,TRUE,6,1,3,
Light Blue,Green,3,6,6-1,Quinn Feikema,0,6,3,,,1,3,4,TRUE,6,1,2,
Light Blue,Green,3,6,1-1,Will Mumme,0,8,2,,,0,4,4,TRUE,1,1,5,
Green,Light Blue,3,6,1-6,Jackson Virgona,0,10,4,,,0,1,2,FALSE,1,6,0,
Green,Light Blue,3,6,1-1,Declan Croucher,0,6,4,,,1,2,4,FALSE,1,1,5,
White,Navy,3,6,6-3,Jonathan Kierce,0,9,3,,,0,6,6,TRUE,6,3,4,
White,Navy,3,6,6-3,Damon Maurice,0,3,1,,,0,0,0,TRUE,6,3,0,
Navy,White,3,6,3-6,Shayl Inlander,0,4,3,,,3,4,1,FALSE,3,6,4,
Navy,White,3,6,3-6,Ethan Seamer,0,15,3,,,0,6,3,FALSE,3,6,4,
Red,Black,3,6,6-2,Luke Sharrock,0,1,3,,,1,2,3,TRUE,6,2,6,
Red,Black,3,6,6-2,Max Razums,0,6,2,,,1,2,2,TRUE,6,2,3,
Black,Red,3,6,2-6,Lachlan Jenkin,1,9,2,,,0,2,5,FALSE,2,6,3,
Black,Red,3,6,2-6,Conor Paraskevas,0,10,3,,,3,3,0,FALSE,2,6,0,
Black,Pink,3,7,6-1,Lachlan Jenkin,1,4,1,,,3,7,6,TRUE,6,1,6,
Black,Pink,3,7,6-1,Jim Papa,0,12,2,,,1,2,1,TRUE,6,1,3,
Pink,Black,3,7,1-6,Will Burgess,0,17,4,,,0,5,1,FALSE,1,6,0,
Pink,Black,3,7,1-6,Jamie Harris,0,9,3,,,0,3,2,FALSE,1,6,3,
Red,Navy,3,7,3-6,Jonathan Kierce (Fill-in),2,3,1,,,0,0,4,FALSE,3,6,2,
Red,Navy,3,7,3-6,Max Razums,1,8,7,,,1,0,0,FALSE,3,6,0,
Navy,Red,3,7,6-3,Shayl Inlander,0,12,2,,,0,4,3,TRUE,6,3,4,
Navy,Red,3,7,6-3,Ethan Seamer,0,5,2,,,2,5,5,TRUE,6,3,6,
Orange,Light Blue,3,7,5-5,Lewis Mossman,1,6,3,,,1,1,2,TRUE,5,5,2,
Orange,Light Blue,3,7,5-5,Jimmy Gorton,0,9,6,,,1,5,2,TRUE,5,5,5,
Light Blue,Orange,3,7,5-5,Quinn Feikema,0,5,2,,,0,5,2,FALSE,5,5,5,
Light Blue,Orange,3,7,5-5,Ethan Seamer (Fill-in),0,19,2,,,0,2,7,FALSE,5,5,0,
Yellow,Green,3,7,4-6,Emerson Wise,0,12,0,,,2,4,2,FALSE,4,6,2,
Yellow,Green,3,7,4-6,Lachy Godden,1,8,0,,,0,3,0,FALSE,4,6,1,
Green,Yellow,3,7,6-4,Declan Croucher,0,3,2,,,0,2,0,TRUE,6,4,3,
Green,Yellow,3,7,6-4,Jackson Virgona,0,9,0,,,0,5,0,TRUE,6,4,6,
Orange,Yellow,3,8,6-0,Jimmy Gorton,0,8,0,,,1,5,2,TRUE,6,0,4,
Orange,Yellow,3,8,6-0,Lewis Mossman,3,8,1,,,1,3,5,TRUE,6,0,6,
Yellow,Orange,3,8,0-6,Emerson Wise,2,4,2,,,2,1,3,FALSE,0,6,2,
Yellow,Orange,3,8,0-6,Lachy Godden,1,7,5,,,2,2,0,FALSE,0,6,0,
White,Light Blue,3,8,5-5,Jonathan Kierce,0,7,2,,,1,9,10,TRUE,5,5,6,
White,Light Blue,3,8,5-5,Damon Maurice,0,5,3,,,1,0,1,TRUE,5,5,2,
Light Blue,White,3,8,5-5,Quinn Feikema,0,6,6,,,0,4,4,FALSE,5,5,4,
Light Blue,White,3,8,5-5,Will Mumme,0,8,5,,,0,7,1,FALSE,5,5,0,
Red,Pink,3,8,6-4,Luke Sharrock,0,6,1,,,0,3,7,TRUE,6,4,6,
Red,Pink,3,8,6-4,Lachlan Jenkin (Fill-in),0,7,2,,,0,2,2,TRUE,6,4,0,
Pink,Red,3,8,4-6,Will Burgess,0,9,3,,,0,5,3,FALSE,4,6,3,
Pink,Red,3,8,4-6,Jamie Harris,0,11,6,,,1,1,0,FALSE,4,6,3,
Black,Green,3,8,5-5,Lachlan Jenkin,0,7,3,,,1,4,3,FALSE,5,5,4,
Black,Green,3,8,5-5,Jim Papa,1,14,1,,,2,1,5,FALSE,5,5,0,
Green,Black,3,8,5-5,Jackson Virgona,0,8,6,,,2,7,2,TRUE,5,5,4,
Green,Black,3,8,5-5,Declan Croucher,1,4,2,,,1,2,2,TRUE,5,5,4,
Black,Light Blue,3,9,5-5,Lachlan Jenkin,0,9,3,,,3,8,4,TRUE,5,5,5,
Black,Light Blue,3,9,5-5,Jim Papa,0,17,4,,,3,4,1,TRUE,5,5,1,
Light Blue,Black,3,9,5-5,Will Mumme,1,21,3,,,1,4,2,FALSE,5,5,2,
Light Blue,Black,3,9,5-5,Quinn Feikema,1,10,2,,,2,2,5,FALSE,5,5,4,
White,Pink,3,9,6-1,Jonathan Kierce,1,1,0,,,0,7,4,TRUE,6,1,6,
White,Pink,3,9,6-1,Damon Maurice,0,4,3,,,0,1,0,TRUE,6,1,4,
Pink,White,3,9,1-6,Will Burgess,0,3,2,,,2,2,2,FALSE,1,6,2,
Pink,White,3,9,1-6,Jamie Harris,0,9,2,,,0,1,1,FALSE,1,6,0,
Orange,Green,3,9,5-5,Jimmy Gorton,1,15,2,,,5,4,4,TRUE,5,5,4,
Orange,Green,3,9,5-5,Lewis Mossman,2,8,1,,,5,4,4,TRUE,5,5,5,
Green,Orange,3,9,5-5,Jackson Virgona,0,7,6,,,4,1,3,FALSE,5,5,0,
Green,Orange,3,9,5-5,Declan Croucher,0,6,2,,,4,2,0,FALSE,5,5,3,
Yellow,Navy,3,9,6-3,Emerson Wise,4,8,0,,,1,4,3,TRUE,6,3,6,
Yellow,Navy,3,9,6-3,Lachy Godden,1,8,2,,,3,2,3,TRUE,6,3,3,
Navy,Yellow,3,9,3-6,Shayl Inlander,0,5,1,,,4,3,0,FALSE,3,6,0,
Navy,Yellow,3,9,3-6,Jamie Harris (Fill-in),0,6,5,,,0,1,2,FALSE,3,6,3,
Orange,Yellow,4,1,6-2,Jimmy Gorton,0,5,0,,,1,5,4,TRUE,6,2,6,Jimmy Gorton
Orange,Yellow,4,1,6-2,Ed Simpson,3,8,1,,,1,1,2,TRUE,6,2,4,Ed Simpson
Yellow,Orange,4,1,2-6,Archie Littlejohn,0,8,3,,,0,1,0,FALSE,2,6,1,Archie Littlejohn
Yellow,Orange,4,1,2-6,Will Mumme,0,7,3,,,1,4,1,FALSE,2,6,1,Will Mumme
Black,White,4,1,6-3,Emerson Wise,2,5,3,,,1,4,1,TRUE,6,3,6,Emerson Wise
Black,White,4,1,6-3,Lewis Mossman,0,5,2,,,0,0,2,TRUE,6,3,2,Lewis Mossman
White,Black,4,1,3-6,Jonathan Kierce,0,3,0,,,2,7,6,FALSE,3,6,4,Jonathan Kierce
White,Black,4,1,3-6,Jamie Harris,0,11,4,,,1,0,0,FALSE,3,6,0,Jamie Harris
Pink,Navy,4,1,6-0,Luke Sharrock,1,3,1,,,2,3,2,TRUE,6,0,6,Luke Sharrock
Pink,Navy,4,1,6-0,Angus Hume,0,6,0,,,0,0,2,TRUE,6,0,4,Angus Hume
Navy,Pink,4,1,0-6,Lachlan Jenkin,0,3,1,,,3,2,1,FALSE,0,6,2,Lachlan Jenkin
Navy,Pink,4,1,0-6,Jackson Virgona,0,14,3,,,1,1,0,FALSE,0,6,0,Jackson Virgona
Green,Red,4,1,6-3,Adam Dickson,1,5,2,,,2,5,6,TRUE,6,3,6,Adam Dickson
Green,Red,4,1,6-3,Declan Croucher,0,4,3,,,0,1,2,TRUE,6,3,4,Declan Croucher
Red,Green,4,1,3-6,Quinn Feikema,2,2,6,,,1,3,5,FALSE,3,6,1,Quinn Feikema
Red,Green,4,1,3-6,Will Burgess,0,10,2,,,0,2,0,FALSE,3,6,1,Will Burgess
White,Navy,4,2,6-4,Jonathan Kierce,0,4,1,,,1,6,4,TRUE,6,4,6,Damon Maurice
White,Navy,4,2,6-4,Damon Maurice,0,5,0,,,0,0,0,TRUE,6,4,0,Shayl Inlander
Navy,White,4,2,4-6,Lachlan Jenkin,1,4,2,,,0,3,2,FALSE,4,6,4,Ed Simpson (Fill-in)
Navy,White,4,2,4-6,Jackson Virgona,0,14,2,,,1,1,0,FALSE,4,6,0,Ethan Seamer
Red,Orange,4,2,6-3,Quinn Feikema,1,7,3,,,3,3,5,TRUE,6,3,5,Lewis Mossman (Fill-in)
Red,Orange,4,2,6-3,Will Burgess,0,6,2,,,0,3,0,TRUE,6,3,4,Lachy Godden
Orange,Red,4,2,3-6,Jimmy Gorton,0,7,1,,,2,7,3,FALSE,3,6,3,Charlie Simpson
Orange,Red,4,2,3-6,Ed Simpson,1,13,2,,,0,3,2,FALSE,3,6,0,Lachy Godden (Fill-in)
Green,Black,4,2,6-2,Adam Dickson,0,4,1,,,0,5,4,TRUE,6,2,6,Will Mumme (Fill-in)
Green,Black,4,2,6-2,Declan Croucher,0,4,2,,,0,2,1,TRUE,6,2,3,Adam Dickson (Fill-in)
Black,Green,4,2,2-6,Emerson Wise,0,5,1,,,1,1,3,FALSE,2,6,3,
Black,Green,4,2,2-6,Lewis Mossman,0,5,3,,,1,4,1,FALSE,2,6,0,
Light Blue,Yellow,4,2,6-3,Shayl Inlander,0,4,2,,,3,3,0,TRUE,6,3,4,
Light Blue,Yellow,4,2,6-3,Ed Simpson (Fill-in),1,4,0,,,0,12,3,TRUE,6,3,0,
Yellow,Light Blue,4,2,3-6,Archie Littlejohn,0,6,1,,,0,5,3,FALSE,3,6,2,
Yellow,Light Blue,4,2,3-6,Will Mumme,0,3,1,,,1,3,0,FALSE,3,6,0,
Red,Navy,4,3,6-4,Will Burgess,1,7,4,,,1,6,7,TRUE,6,4,4,
Red,Navy,4,3,6-4,Quinn Feikema,1,8,2,,,2,1,5,TRUE,6,4,3,
Navy,Red,4,3,4-6,Lachlan Jenkin,1,4,7,,,1,6,5,FALSE,4,6,5,
Navy,Red,4,3,4-6,Jackson Virgona,0,14,5,,,0,3,1,FALSE,4,6,0,
Light Blue,Black,4,3,5-5,Shayl Inlander,0,11,2,,,2,3,0,TRUE,5,5,2,
Light Blue,Black,4,3,5-5,Ethan Seamer,0,17,2,,,1,7,5,TRUE,5,5,6,
Black,Light Blue,4,3,5-5,Emerson Wise,1,9,5,,,1,2,1,FALSE,5,5,0,
Black,Light Blue,4,3,5-5,Lewis Mossman,1,12,0,,,3,6,3,FALSE,5,5,4,
Yellow,White,4,3,5-5,Will Mumme,0,13,3,,,2,4,4,TRUE,5,5,2,
Yellow,White,4,3,5-5,Lewis Mossman (Fill-in),0,4,1,,,1,8,1,TRUE,5,5,0,
White,Yellow,4,3,5-5,Jonathan Kierce,0,8,0,,,0,8,3,FALSE,5,5,4,
White,Yellow,4,3,5-5,Lachy Godden,0,9,5,,,1,2,1,FALSE,5,5,0,
Pink,Orange,4,3,5-5,Luke Sharrock,1,11,1,,,2,4,5,TRUE,5,5,5,
Pink,Orange,4,3,5-5,Angus Hume,0,9,3,,,0,3,0,TRUE,5,5,1,
Orange,Pink,4,3,5-5,Jimmy Gorton,0,9,5,,,1,8,4,FALSE,5,5,5,
Orange,Pink,4,3,5-5,Ed Simpson,1,13,1,,,0,4,0,FALSE,5,5,1,
Pink,White,4,4,6-4,Luke Sharrock,0,8,2,,,0,3,6,TRUE,6,4,6,
Pink,White,4,4,6-4,Angus Hume,0,10,5,,,0,5,3,TRUE,6,4,2,
White,Pink,4,4,4-6,Jonathan Kierce,0,4,1,,,0,4,4,FALSE,4,6,4,
White,Pink,4,4,4-6,Lachy Godden,0,9,7,,,1,4,2,FALSE,4,6,0,
Green,Light Blue,4,4,6-1,Adam Dickson,1,3,0,,,1,4,3,TRUE,6,1,6,
Green,Light Blue,4,4,6-1,Declan Croucher,0,2,2,,,1,4,1,TRUE,6,1,4,
Light Blue,Green,4,4,1-6,Shayl Inlander,0,4,0,,,0,2,3,FALSE,1,6,2,
Light Blue,Green,4,4,1-6,Ethan Seamer,0,10,4,,,1,2,0,FALSE,1,6,0,
Yellow,Red,4,4,3-6,Archie Littlejohn,0,3,2,,,0,5,1,FALSE,3,6,3,
Yellow,Red,4,4,3-6,Will Mumme,0,8,4,,,2,5,1,FALSE,3,6,3,
Red,Yellow,4,4,6-3,Quinn Feikema,1,8,2,,,0,7,5,TRUE,6,3,6,
Red,Yellow,4,4,6-3,Will Burgess,0,4,0,,,1,3,1,TRUE,6,3,0,
Navy,Orange,4,4,6-3,Lachlan Jenkin,0,4,2,,,0,6,1,TRUE,6,3,6,
Navy,Orange,4,4,6-3,Jamie Harris,0,8,1,,,0,1,1,TRUE,6,3,0,
Orange,Navy,4,4,3-6,Ed Simpson,0,10,2,,,0,3,1,FALSE,3,6,0,
Orange,Navy,4,4,3-6,Jimmy Gorton,0,9,4,,,3,5,1,FALSE,3,6,4,
Green,White,4,5,6-1,Adam Dickson,2,3,1,,,3,4,4,TRUE,6,1,6,
Green,White,4,5,6-1,Declan Croucher,0,1,1,,,0,1,0,TRUE,6,1,4,
White,Green,4,5,1-6,Jonathan Kierce,0,5,2,,,0,3,2,FALSE,1,6,2,
White,Green,4,5,1-6,Lachy Godden,1,12,2,,,0,0,0,FALSE,1,6,0,
Pink,Red,4,5,6-4,Luke Sharrock,0,5,6,,,0,3,6,TRUE,6,4,6,
Pink,Red,4,5,6-4,Angus Hume,0,7,7,,,0,1,1,TRUE,6,4,0,
Red,Pink,4,5,4-6,Quinn Feikema,0,10,3,,,0,2,5,FALSE,4,6,2,
Red,Pink,4,5,4-6,Will Burgess,1,13,4,,,1,3,8,FALSE,4,6,4,
Black,Yellow,4,5,6-4,Emerson Wise,0,12,2,,,2,2,5,TRUE,6,4,2,
Black,Yellow,4,5,6-4,Lewis Mossman,0,11,1,,,1,12,5,TRUE,6,4,5,
Yellow,Black,4,5,4-6,Archie Littlejohn,0,10,4,,,0,3,0,FALSE,4,6,0,
Yellow,Black,4,5,4-6,Will Mumme,0,10,5,,,1,9,4,FALSE,4,6,5,
Orange,Light Blue,4,5,6-1,Jimmy Gorton,0,8,0,,,0,4,0,TRUE,6,1,6,
Orange,Light Blue,4,5,6-1,Ed Simpson,1,3,1,,,0,1,2,TRUE,6,1,4,
Light Blue,Orange,4,5,1-6,Shayl Inlander,0,8,2,,,1,3,0,FALSE,1,6,1,
Light Blue,Orange,4,5,1-6,Ethan Seamer,0,8,0,,,0,0,1,FALSE,1,6,1,
Orange,White,4,6,5-5,Jimmy Gorton,0,3,2,,,2,4,5,TRUE,5,5,6,
Orange,White,4,6,5-5,Ed Simpson,0,12,5,,,0,4,1,TRUE,5,5,4,
White,Orange,4,6,5-5,Jonathan Kierce,0,8,3,,,0,3,6,FALSE,5,5,2,
White,Orange,4,6,5-5,Lachy Godden,0,11,2,,,1,2,1,FALSE,5,5,0,
Pink,Green,4,6,6-3,Luke Sharrock,0,8,1,,,0,3,10,TRUE,6,3,6,
Pink,Green,4,6,6-3,Angus Hume,0,7,2,,,0,3,1,TRUE,6,3,4,
Green,Pink,4,6,3-6,Adam Dickson,0,10,6,,,0,3,4,FALSE,3,6,2,
Green,Pink,4,6,3-6,Declan Croucher,0,4,6,,,0,5,0,FALSE,3,6,0,
Red,Black,4,6,6-2,Quinn Feikema,0,1,0,,,1,2,4,TRUE,6,2,6,
Red,Black,4,6,6-2,Will Burgess,0,5,2,,,0,1,5,TRUE,6,2,4,
Black,Red,4,6,2-6,Emerson Wise,0,7,1,,,0,2,2,FALSE,2,6,1,
Black,Red,4,6,2-6,Lewis Mossman,0,5,7,,,0,2,2,FALSE,2,6,1,
Navy,Light Blue,4,6,6-2,Charlie Simpson,0,1,1,,,3,3,2,TRUE,6,2,0,
Navy,Light Blue,4,6,6-2,Jackson Virgona,0,12,2,,,0,5,0,TRUE,6,2,4,
Light Blue,Navy,4,6,2-6,Shayl Inlander,0,6,1,,,0,3,0,FALSE,2,6,2,
Light Blue,Navy,4,6,2-6,Ethan Seamer,0,14,1,,,0,1,3,FALSE,2,6,0,
Red,Light Blue,4,7,6-4,Quinn Feikema,1,6,3,,,1,6,4,TRUE,6,4,6,
Red,Light Blue,4,7,6-4,Will Burgess,1,7,4,,,1,3,3,TRUE,6,4,3,
Light Blue,Red,4,7,4-6,Shayl Inlander,0,5,3,,,0,4,2,FALSE,4,6,3,
Light Blue,Red,4,7,4-6,Ethan Seamer,0,19,4,,,1,5,6,FALSE,4,6,0,
Orange,Green,4,7,6-3,Jimmy Gorton,1,4,4,,,1,6,6,TRUE,6,3,6,
Orange,Green,4,7,6-3,Ed Simpson,1,3,3,,,0,1,2,TRUE,6,3,2,
Green,Orange,4,7,3-6,Adam Dickson,0,4,2,,,3,3,5,FALSE,3,6,4,
Green,Orange,4,7,3-6,Lachy Godden (Fill-in),0,6,5,,,0,1,2,FALSE,3,6,0,
Navy,Yellow,4,7,6-4,Lachlan Jenkin,2,10,0,,,2,6,3,TRUE,6,4,6,
Navy,Yellow,4,7,6-4,Jackson Virgona,0,6,3,,,0,5,1,TRUE,6,4,3,
Yellow,Navy,4,7,4-6,Archie Littlejohn,0,9,2,,,0,2,2,FALSE,4,6,0,
Yellow,Navy,4,7,4-6,Will Mumme,0,13,2,,,0,7,1,FALSE,4,6,3,
Pink,Black,4,7,5-5,Luke Sharrock,2,8,3,,,1,8,6,TRUE,5,5,5,
Pink,Black,4,7,5-5,Angus Hume,0,8,2,,,0,1,2,TRUE,5,5,0,
Black,Pink,4,7,5-5,Emerson Wise,0,12,4,,,1,2,2,FALSE,5,5,2,
